"ad_campaign_id","platform","start_date","end_date","spend","impressions","clicks","conversions"
"CAMP001","Google Ads","01/15/2023","02/14/2023","$2,500.00","125000","3200","85"
"CAMP002","Facebook","02/01/2023","03/01/2023","$1,800.00","98000","2800","72"
"CAMP003","TikTok","03/10/2023","04/09/2023","$3,200.00","210000","5800","145"
"CAMP004","Instagram","04/05/2023","05/04/2023","$2,200.00","115000","3100","88"
"CAMP005","Google Ads","05/20/2023","06/19/2023","$2,800.00","140000","3600","98"
"CAMP006","Facebook","06/15/2023","07/14/2023","$2,000.00","105000","2950","78"
"CAMP007","TikTok","07/01/2023","07/31/2023","$3,500.00","240000","6200","162"
"CAMP008","Instagram","08/10/2023","09/09/2023","$2,400.00","128000","3400","92"
"CAMP009","Google Ads","09/25/2023","10/24/2023","$3,000.00","155000","3900","105"
"CAMP010","Facebook","10/15/2023","11/14/2023","$2,100.00","112000","3050","82"
"CAMP011","TikTok","11/05/2023","12/04/2023","$3,800.00","260000","6800","175"
"CAMP012","Instagram","12/01/2023","12/31/2023","$2,600.00","135000","3550","95"
"CAMP013","Google Ads","01/10/2024","02/09/2024","$3,200.00","165000","4100","110"
"CAMP014","Facebook","02/05/2024","03/05/2024","$2,300.00","120000","3200","86"
"CAMP015","TikTok","03/15/2024","04/14/2024","$4,000.00","280000","7200","188"
"CAMP016","Instagram","04/01/2024","04/30/2024","$2,800.00","145000","3750","100"
"CAMP017","Google Ads","05/10/2024","06/09/2024","$3,400.00","175000","4300","115"
"CAMP018","Facebook","06/01/2024","06/30/2024","$2,500.00","130000","3400","90"
"CAMP019","TikTok","07/05/2024","08/04/2024","$4,200.00","300000","7600","195"
"CAMP020","Instagram","08/15/2024","09/14/2024","$3,000.00","155000","3950","105"
