"order_id","customer_id","order_date","product_id","quantity","price","discount","total","ad_campaign_id"
"ORD00001","CUST1001","02/20/2023","PROD001","2","79.99","0.15","135.98","CAMP001"
"ORD00002","CUST1002","03/25/2023","PROD007","1","89.99","0.10","80.99","CAMP002"
"ORD00003","CUST1003","01/12/2023","PROD012","1","99.99","0.00","99.99","CAMP001"
"ORD00004","CUST1004","04/18/2023","PROD006","3","24.99","0.20","59.98","CAMP004"
"ORD00005","CUST1005","05/22/2023","PROD018","1","59.99","0.10","53.99","CAMP005"
"ORD00006","CUST1001","03/28/2023","PROD002","1","199.99","0.05","189.99","CAMP002"
"ORD00007","CUST1006","03/05/2023","PROD011","2","44.99","0.15","76.48","CAMP001"
"ORD00008","CUST1007","06/08/2023","PROD021","2","49.99","0.10","89.98","CAMP006"
"ORD00009","CUST1008","07/15/2023","PROD027","1","89.99","0.00","89.99","CAMP007"
"ORD00010","CUST1009","08/28/2023","PROD031","1","279.99","0.10","251.99","CAMP008"
"ORD00011","CUST1010","09/10/2023","PROD003","3","59.99","0.15","152.98","CAMP009"
"ORD00012","CUST1002","04/05/2023","PROD009","1","69.99","0.00","69.99","CAMP003"
"ORD00013","CUST1011","10/18/2023","PROD015","2","64.99","0.10","116.98","CAMP010"
"ORD00014","CUST1012","11/05/2023","PROD022","1","129.99","0.20","103.99","CAMP011"
"ORD00015","CUST1013","12/22/2023","PROD028","1","129.99","0.05","123.49","CAMP012"
"ORD00016","CUST1004","01/15/2024","PROD005","2","39.99","0.10","71.98","CAMP013"
"ORD00017","CUST1014","02/08/2024","PROD017","1","34.99","0.00","34.99","CAMP014"
"ORD00018","CUST1015","03/20/2024","PROD033","4","19.99","0.15","67.96","CAMP015"
"ORD00019","CUST1001","04/12/2024","PROD040","1","69.99","0.10","62.99","CAMP016"
"ORD00020","CUST1003","05/25/2024","PROD045","2","44.99","0.00","89.98","CAMP017"
"ORD00021","CUST1016","04/02/2023","PROD004","5","14.99","0.20","59.96","CAMP003"
"ORD00022","CUST1017","05/10/2023","PROD013","1","49.99","0.10","44.99","CAMP005"
"ORD00023","CUST1018","06/18/2023","PROD019","1","89.99","0.05","85.49","CAMP006"
"ORD00024","CUST1019","07/25/2023","PROD025","3","39.99","0.15","101.98","CAMP007"
"ORD00025","CUST1020","08/05/2023","PROD030","2","34.99","0.00","69.98","CAMP008"
"ORD00026","CUST1005","09/15/2023","PROD002","1","199.99","0.10","179.99","CAMP009"
"ORD00027","CUST1021","10/22/2023","PROD008","2","34.99","0.10","62.98","CAMP010"
"ORD00028","CUST1022","11/10/2023","PROD014","3","29.99","0.15","76.48","CAMP011"
"ORD00029","CUST1023","12/18/2023","PROD020","1","149.99","0.05","142.49","CAMP012"
"ORD00030","CUST1006","01/25/2024","PROD011","1","44.99","0.00","44.99","CAMP013"
"ORD00031","CUST1024","02/12/2024","PROD016","1","49.99","0.10","44.99","CAMP014"
"ORD00032","CUST1025","03/28/2024","PROD023","2","74.99","0.20","119.98","CAMP015"
"ORD00033","CUST1007","04/15/2024","PROD029","1","39.99","0.00","39.99","CAMP016"
"ORD00034","CUST1026","05/20/2024","PROD035","1","109.99","0.10","98.99","CAMP017"
"ORD00035","CUST1027","04/22/2023","PROD006","2","24.99","0.10","44.98","CAMP004"
"ORD00036","CUST1028","05/30/2023","PROD012","1","99.99","0.05","94.99","CAMP005"
"ORD00037","CUST1029","07/05/2023","PROD018","2","59.99","0.15","101.98","CAMP007"
"ORD00038","CUST1030","08/12/2023","PROD021","1","49.99","0.00","49.99","CAMP008"
"ORD00039","CUST1008","09/20/2023","PROD027","1","89.99","0.10","80.99","CAMP009"
"ORD00040","CUST1031","10/28/2023","PROD031","1","279.99","0.20","223.99","CAMP010"
"ORD00041","CUST1032","11/15/2023","PROD003","2","59.99","0.10","107.98","CAMP011"
"ORD00042","CUST1033","12/23/2023","PROD015","1","64.99","0.00","64.99","CAMP012"
"ORD00043","CUST1009","01/30/2024","PROD022","1","129.99","0.15","110.49","CAMP013"
"ORD00044","CUST1034","02/18/2024","PROD005","3","39.99","0.10","107.97","CAMP014"
"ORD00045","CUST1035","03/25/2024","PROD017","1","34.99","0.00","34.99","CAMP015"
"ORD00046","CUST1010","04/20/2024","PROD033","2","19.99","0.15","33.98","CAMP016"
"ORD00047","CUST1036","05/28/2024","PROD040","1","69.99","0.10","62.99","CAMP017"
"ORD00048","CUST1037","06/25/2023","PROD004","4","14.99","0.20","47.96","CAMP006"
"ORD00049","CUST1038","08/02/2023","PROD013","1","49.99","0.00","49.99","CAMP008"
"ORD00050","CUST1039","09/08/2023","PROD019","1","89.99","0.05","85.49","CAMP009"
"ORD00051","CUST1040","10/15/2023","PROD025","2","39.99","0.10","71.98","CAMP010"
"ORD00052","CUST1011","11/22/2023","PROD030","1","34.99","0.00","34.99","CAMP011"
"ORD00053","CUST1041","12/30/2023","PROD002","1","199.99","0.15","169.99","CAMP012"
"ORD00054","CUST1042","02/05/2024","PROD008","3","34.99","0.10","94.47","CAMP014"
"ORD00055","CUST1043","03/12/2024","PROD014","2","29.99","0.05","56.98","CAMP015"
"ORD00056","CUST1012","04/18/2024","PROD020","1","149.99","0.20","119.99","CAMP016"
"ORD00057","CUST1044","05/25/2024","PROD011","1","44.99","0.00","44.99","CAMP017"
"ORD00058","CUST1045","07/10/2023","PROD016","2","49.99","0.10","89.98","CAMP007"
"ORD00059","CUST1046","08/18/2023","PROD023","1","74.99","0.15","63.74","CAMP008"
"ORD00060","CUST1047","09/25/2023","PROD029","1","39.99","0.00","39.99","CAMP009"
"ORD00061","CUST1013","11/01/2023","PROD035","1","109.99","0.10","98.99","CAMP011"
"ORD00062","CUST1048","12/08/2023","PROD006","2","24.99","0.05","47.48","CAMP012"
"ORD00063","CUST1049","01/15/2024","PROD012","1","99.99","0.20","79.99","CAMP013"
"ORD00064","CUST1050","02/22/2024","PROD018","1","59.99","0.10","53.99","CAMP014"
"ORD00065","CUST1014","04/01/2024","PROD021","3","49.99","0.15","127.48","CAMP016"
"ORD00066","CUST1051","05/08/2024","PROD027","1","89.99","0.00","89.99","CAMP017"
"ORD00067","CUST1052","06/12/2023","PROD031","1","279.99","0.10","251.99","CAMP006"
"ORD00068","CUST1053","07/20/2023","PROD003","2","59.99","0.20","95.98","CAMP007"
"ORD00069","CUST1054","09/02/2023","PROD015","1","64.99","0.05","61.74","CAMP009"
"ORD00070","CUST1015","10/10/2023","PROD022","1","129.99","0.15","110.49","CAMP010"
"ORD00071","CUST1055","11/18/2023","PROD005","2","39.99","0.00","79.98","CAMP011"
"ORD00072","CUST1056","12/25/2023","PROD017","1","34.99","0.10","31.49","CAMP012"
"ORD00073","CUST1016","02/01/2024","PROD033","3","19.99","0.20","47.97","CAMP014"
"ORD00074","CUST1057","03/10/2024","PROD040","1","69.99","0.10","62.99","CAMP015"
"ORD00075","CUST1058","04/15/2024","PROD004","2","14.99","0.00","29.98","CAMP016"
