"product_id","product_name","category","cost_price","selling_price"
"PROD001","Wireless Earbuds","Electronics","$45.00","$79.99"
"PROD002","Smart Watch Pro","Electronics","$120.00","$199.99"
"PROD003","Bluetooth Speaker","Electronics","$35.00","$59.99"
"PROD004","USB-C Charging Cable","Electronics","$8.00","$14.99"
"PROD005","Laptop Stand","Accessories","$25.00","$39.99"
"PROD006","Phone Case - Black","Fashion","$12.00","$24.99"
"PROD007","Running Sneakers","Fashion","$55.00","$89.99"
"PROD008","Leather Wallet","Fashion","$18.00","$34.99"
"PROD009","Travel Backpack","Fashion","$40.00","$69.99"
"PROD010","Cotton T-Shirt Pack","Fashion","$20.00","$39.99"
"PROD011","Desk Lamp LED","Home","$22.00","$44.99"
"PROD012","Kitchen Knife Set","Home","$60.00","$99.99"
"PROD013","Non-Stick Frying Pan","Home","$28.00","$49.99"
"PROD014","Water Bottle 1L","Home","$15.00","$29.99"
"PROD015","Bed Sheet Set","Home","$35.00","$64.99"
"PROD016","Yoga Mat Premium","Accessories","$30.00","$49.99"
"PROD017","Wireless Mouse","Electronics","$18.00","$34.99"
"PROD018","Power Bank 20000mAh","Electronics","$32.00","$59.99"
"PROD019","Webcam HD","Electronics","$50.00","$89.99"
"PROD020","Noise-Cancelling Headphones","Electronics","$80.00","$149.99"
"PROD021","Sunglasses UV Protection","Fashion","$25.00","$49.99"
"PROD022","Winter Jacket","Fashion","$70.00","$129.99"
"PROD023","Denim Jeans","Fashion","$40.00","$74.99"
"PROD024","Baseball Cap","Fashion","$15.00","$29.99"
"PROD025","Scarf Wool Blend","Fashion","$20.00","$39.99"
"PROD026","Throw Pillow Set","Home","$28.00","$49.99"
"PROD027","Coffee Maker 12-Cup","Home","$55.00","$89.99"
"PROD028","Air Fryer 5L","Home","$75.00","$129.99"
"PROD029","Wall Clock Modern","Home","$22.00","$39.99"
"PROD030","Plant Pot Ceramic","Home","$18.00","$34.99"
"PROD031","Ergonomic Office Chair","Accessories","$150.00","$279.99"
"PROD032","Monitor Stand","Accessories","$35.00","$59.99"
"PROD033","Cable Organizer","Accessories","$10.00","$19.99"
"PROD034","Desk Mat Leather","Accessories","$25.00","$44.99"
"PROD035","Keyboard Mechanical","Electronics","$65.00","$109.99"
"PROD036","External SSD 1TB","Electronics","$90.00","$149.99"
"PROD037","Smart Plug","Electronics","$20.00","$39.99"
"PROD038","Security Camera Indoor","Electronics","$60.00","$99.99"
"PROD039","Digital Photo Frame","Electronics","$70.00","$119.99"
"PROD040","Fitness Tracker Band","Accessories","$40.00","$69.99"
"PROD041","Handbag Leather","Fashion","$55.00","$99.99"
"PROD042","Sports Leggings","Fashion","$30.00","$54.99"
"PROD043","Hoodie Oversized","Fashion","$35.00","$64.99"
"PROD044","Watch Classic","Fashion","$45.00","$79.99"
"PROD045","Belt Genuine Leather","Fashion","$22.00","$44.99"
"PROD046","Curtains Blackout","Home","$40.00","$74.99"
"PROD047","Storage Basket Set","Home","$25.00","$44.99"
"PROD048","Electric Kettle 1.7L","Home","$30.00","$54.99"
"PROD049","Toaster 4-Slice","Home","$45.00","$79.99"
"PROD050","Blender High-Power","Home","$65.00","$109.99"
"PROD051","Car Phone Holder","Accessories","$15.00","$29.99"
"PROD052","Laptop Sleeve 15""","Accessories","$20.00","$39.99"
"PROD053","Mouse Pad Gaming","Accessories","$18.00","$34.99"
"PROD054","USB Hub 7-Port","Electronics","$25.00","$44.99"
"PROD055","Portable Projector","Electronics","$180.00","$299.99"
"PROD056","Smart Doorbell","Electronics","$100.00","$179.99"
"PROD057","Robot Vacuum","Electronics","$250.00","$399.99"
"PROD058","Air Purifier HEPA","Home","$120.00","$199.99"
"PROD059","Microwave Oven 20L","Home","$80.00","$139.99"
"PROD060","Pressure Cooker 6L","Home","$70.00","$119.99"
"PROD061","Summer Dress Floral","Fashion","$35.00","$64.99"
"PROD062","Cargo Shorts","Fashion","$28.00","$49.99"
"PROD063","Polo Shirt","Fashion","$22.00","$39.99"
"PROD064","Ankle Boots","Fashion","$60.00","$109.99"
"PROD065","Beanie Hat","Fashion","$15.00","$29.99"
"PROD066","Table Runner","Home","$18.00","$34.99"
"PROD067","Laundry Hamper","Home","$25.00","$44.99"
"PROD068","Duvet Cover Set","Home","$45.00","$79.99"
"PROD069","Bath Towel Set","Home","$30.00","$54.99"
"PROD070","Candle Holder Set","Home","$20.00","$39.99"
"PROD071","Resistance Bands Set","Accessories","$25.00","$44.99"
"PROD072","Jump Rope","Accessories","$12.00","$24.99"
"PROD073","Dumbbell Pair 5kg","Accessories","$40.00","$69.99"
"PROD074","Phone Tripod","Accessories","$22.00","$39.99"
"PROD075","Wireless Charger","Electronics","$28.00","$49.99"
"PROD076","Gaming Headset","Electronics","$55.00","$94.99"
"PROD077","Graphics Tablet","Electronics","$80.00","$139.99"
"PROD078","Smart Light Bulb","Electronics","$18.00","$34.99"
"PROD079","Streaming Webcam","Electronics","$65.00","$109.99"
"PROD080","Portable Speaker Mini","Electronics","$25.00","$44.99"
"PROD081","Crossbody Bag","Fashion","$30.00","$54.99"
"PROD082","Track Pants","Fashion","$35.00","$59.99"
"PROD083","Blazer Casual","Fashion","$70.00","$129.99"
"PROD084","Sandals Leather","Fashion","$40.00","$74.99"
"PROD085","Gloves Winter","Fashion","$18.00","$34.99"
"PROD086","Wall Art Print","Home","$25.00","$44.99"
"PROD087","Bookshelf 3-Tier","Home","$80.00","$139.99"
"PROD088","Nightstand","Home","$60.00","$109.99"
"PROD089","Rug 5x7","Home","$90.00","$159.99"
"PROD090","Vase Decorative","Home","$22.00","$39.99"
"PROD091","Travel Mug","Accessories","$15.00","$29.99"
"PROD092","Wallet RFID","Accessories","$20.00","$39.99"
"PROD093","Backpack Rain Cover","Accessories","$12.00","$24.99"
"PROD094","Screen Protector","Accessories","$8.00","$14.99"
"PROD095","Car Charger Dual","Accessories","$15.00","$29.99"
"PROD096","Smart Thermostat","Electronics","$100.00","$179.99"
"PROD097","Drone Mini","Electronics","$200.00","$349.99"
"PROD098","VR Headset","Electronics","$300.00","$499.99"
"PROD099","Smart Scale","Electronics","$50.00","$89.99"
"PROD100","Nasal Irrigator","Electronics","$40.00","$69.99"
